Temp (C),Temp (K),Timestamp (ms)
34.66,308,0.027046918869018555
34.66,308,0.06716418266296387
34.66,308,0.1071317195892334
34.66,308,0.14716458320617676
34.66,308,0.1870875358581543
34.73,308,0.2269906997680664
34.73,308,0.26700329780578613
34.73,308,0.30698347091674805
34.66,308,0.34706735610961914
34.66,308,0.3869345188140869
34.66,308,0.42696094512939453
34.66,308,0.4670085906982422
34.66,308,0.5071160793304443
34.66,308,0.5470986366271973
34.66,308,0.5871350765228271
34.66,308,0.6271963119506836
34.66,308,0.6670722961425781
34.66,308,0.7070002555847168
34.66,308,0.7470645904541016
34.66,308,0.7869231700897217
34.66,308,0.8271517753601074
34.66,308,0.8670539855957031
34.66,308,0.9071331024169922
34.66,308,0.9470038414001465
34.66,308,0.9871110916137695
34.66,308,1.0269801616668701
34.66,308,1.0669646263122559
34.66,308,1.1071012020111084
34.66,308,1.1469166278839111
34.66,308,1.187088966369629
34.66,308,1.227160930633545
34.66,308,1.266953945159912
34.66,308,1.306997299194336
34.66,308,1.347027063369751
34.66,308,1.3869898319244385
34.66,308,1.4270997047424316
34.6,308,1.467052936553955
34.6,308,1.5070891380310059
34.6,308,1.5471324920654297
34.6,308,1.5868871212005615
34.6,308,1.6270363330841064
34.6,308,1.667090892791748
34.6,308,1.7070887088775635
34.6,308,1.7470593452453613
34.6,308,1.7869720458984375
34.6,308,1.8269767761230469
34.6,308,1.8670680522918701
34.6,308,1.9069480895996094
34.6,308,1.9471087455749512
34.6,308,1.9871056079864502
34.6,308,2.026996374130249
34.6,308,2.0671043395996094
34.6,308,2.1069555282592773
34.6,308,2.146984100341797
34.6,308,2.186983346939087
34.6,308,2.227095365524292
34.6,308,2.266962766647339
34.6,308,2.306993246078491
34.6,308,2.346970319747925
34.6,308,2.386962890625
34.6,308,2.4271180629730225
34.6,308,2.466827392578125
34.6,308,2.50697660446167
34.6,308,2.54707932472229
34.6,308,2.5871481895446777
34.6,308,2.6269426345825195
34.6,308,2.6669392585754395
34.6,308,2.7071309089660645
34.6,308,2.7469704151153564
34.6,308,2.78691029548645
34.6,308,2.826913833618164
34.6,308,2.867017984390259
34.54,308,2.9071555137634277
34.54,308,2.9471404552459717
34.48,308,2.987081527709961
34.48,308,3.0269384384155273
34.41,308,3.066887855529785
34.41,308,3.107123374938965
34.48,308,3.146944761276245
34.48,308,3.187023878097534
34.54,308,3.2268664836883545
34.48,308,3.266890287399292
34.54,308,3.307084321975708
34.54,308,3.347058057785034
34.54,308,3.387033700942993
34.48,308,3.427255392074585
34.48,308,3.4671051502227783
34.48,308,3.5069940090179443
34.41,308,3.547027587890625
34.41,308,3.5871169567108154
34.48,308,3.6269707679748535
34.48,308,3.6669507026672363
34.54,308,3.7071571350097656
34.6,308,3.7469348907470703
34.6,308,3.7869362831115723
34.54,308,3.826965808868408
34.54,308,3.867004871368408
34.6,308,3.907033920288086
34.66,308,3.9469149112701416
34.66,308,3.9870388507843018
34.66,308,4.027078866958618
34.66,308,4.067023038864136
34.66,308,4.107072353363037
34.66,308,4.147082805633545
34.6,308,4.186993360519409
34.48,308,4.227077007293701
34.48,308,4.267032146453857
34.35,308,4.307024955749512
34.35,308,4.347101211547852
34.29,307,4.3868772983551025
34.16,307,4.427120208740234
34.1,307,4.466923713684082
34.1,307,4.507155656814575
34.04,307,4.547100305557251
33.54,307,4.587005615234375
33.54,307,4.627015113830566
24.66,298,4.667015075683594
23.6,297,4.7070207595825195
23.54,297,4.746959447860718
23.48,297,4.7870261669158936
23.48,297,4.827040433883667
23.35,296,4.867020845413208
23.35,296,4.907052278518677
23.35,296,4.946897029876709
23.35,296,4.987060546875
23.35,296,5.02693772315979
23.35,296,5.067058086395264
23.35,296,5.1070966720581055
23.35,296,5.1471545696258545
23.35,296,5.1869611740112305
23.35,296,5.226885080337524
23.35,296,5.26697850227356
23.29,296,5.3070831298828125
23.29,296,5.347048282623291
23.29,296,5.386965274810791
23.29,296,5.427056074142456
23.29,296,5.466984272003174
23.29,296,5.506999969482422
23.29,296,5.5470287799835205
23.29,296,5.586897373199463
23.29,296,5.6270434856414795
