Temp (C),Temp (K),Timestamp (ms)
28.22,301.37,0.027046918869018555
28.24,301.39,0.06716418266296387
28.22,301.37,0.1071317195892334
28.23,301.38,0.14716458320617676
28.21,301.35999999999996,0.1870875358581543
28.21,301.35999999999996,0.2269906997680664
28.2,301.34999999999997,0.26700329780578613
28.19,301.34,0.30698347091674805
28.17,301.32,0.34706735610961914
28.16,301.31,0.3869345188140869
28.15,301.29999999999995,0.42696094512939453
28.15,301.29999999999995,0.4670085906982422
28.15,301.29999999999995,0.5071160793304443
28.15,301.29999999999995,0.5470986366271973
28.16,301.31,0.5871350765228271
28.15,301.29999999999995,0.6271963119506836
28.14,301.28999999999996,0.6670722961425781
28.14,301.28999999999996,0.7070002555847168
28.15,301.29999999999995,0.7470645904541016
28.14,301.28999999999996,0.7869231700897217
28.13,301.28,0.8271517753601074
28.14,301.28999999999996,0.8670539855957031
28.13,301.28,0.9071331024169922
28.13,301.28,0.9470038414001465
28.13,301.28,0.9871110916137695
28.13,301.28,1.0269801616668701
28.14,301.28999999999996,1.0669646263122559
28.13,301.28,1.1071012020111084
28.13,301.28,1.1469166278839111
28.13,301.28,1.187088966369629
28.13,301.28,1.227160930633545
28.14,301.28999999999996,1.266953945159912
28.13,301.28,1.306997299194336
28.12,301.27,1.347027063369751
28.12,301.27,1.3869898319244385
28.12,301.27,1.4270997047424316
28.13,301.28,1.467052936553955
28.13,301.28,1.5070891380310059
28.14,301.28999999999996,1.5471324920654297
28.12,301.27,1.5868871212005615
28.12,301.27,1.6270363330841064
28.11,301.26,1.667090892791748
28.11,301.26,1.7070887088775635
28.12,301.27,1.7470593452453613
28.11,301.26,1.7869720458984375
28.11,301.26,1.8269767761230469
28.11,301.26,1.8670680522918701
28.12,301.27,1.9069480895996094
28.11,301.26,1.9471087455749512
28.11,301.26,1.9871056079864502
28.1,301.25,2.026996374130249
28.1,301.25,2.0671043395996094
28.1,301.25,2.1069555282592773
28.1,301.25,2.146984100341797
28.11,301.26,2.186983346939087
28.12,301.27,2.227095365524292
28.12,301.27,2.266962766647339
28.12,301.27,2.306993246078491
28.13,301.28,2.346970319747925
28.13,301.28,2.386962890625
28.14,301.28999999999996,2.4271180629730225
28.14,301.28999999999996,2.466827392578125
28.13,301.28,2.50697660446167
28.13,301.28,2.54707932472229
28.13,301.28,2.5871481895446777
28.12,301.27,2.6269426345825195
28.11,301.26,2.6669392585754395
28.12,301.27,2.7071309089660645
28.1,301.25,2.7469704151153564
28.11,301.26,2.78691029548645
28.11,301.26,2.826913833618164
28.1,301.25,2.867017984390259
28.1,301.25,2.9071555137634277
28.1,301.25,2.9471404552459717
28.1,301.25,2.987081527709961
28.09,301.23999999999995,3.0269384384155273
28.08,301.22999999999996,3.066887855529785
28.08,301.22999999999996,3.107123374938965
28.08,301.22999999999996,3.146944761276245
28.09,301.23999999999995,3.187023878097534
28.07,301.21999999999997,3.2268664836883545
28.07,301.21999999999997,3.266890287399292
28.07,301.21999999999997,3.307084321975708
28.07,301.21999999999997,3.347058057785034
28.08,301.22999999999996,3.387033700942993
28.07,301.21999999999997,3.427255392074585
28.07,301.21999999999997,3.4671051502227783
28.07,301.21999999999997,3.5069940090179443
28.06,301.21,3.547027587890625
28.06,301.21,3.5871169567108154
28.05,301.2,3.6269707679748535
28.05,301.2,3.6669507026672363
28.04,301.19,3.7071571350097656
28.05,301.2,3.7469348907470703
28.05,301.2,3.7869362831115723
28.05,301.2,3.826965808868408
28.04,301.19,3.867004871368408
28.04,301.19,3.907033920288086
28.04,301.19,3.9469149112701416
28.02,301.16999999999996,3.9870388507843018
27.99,301.14,4.027078866958618
27.97,301.12,4.067023038864136
27.94,301.09,4.107072353363037
27.87,301.02,4.147082805633545
27.8,300.95,4.186993360519409
27.71,300.85999999999996,4.227077007293701
27.62,300.77,4.267032146453857
27.53,300.67999999999995,4.307024955749512
27.43,300.58,4.347101211547852
27.31,300.46,4.3868772983551025
27.17,300.32,4.427120208740234
27.01,300.15999999999997,4.466923713684082
26.84,299.98999999999995,4.507155656814575
26.64,299.78999999999996,4.547100305557251
26.44,299.59,4.587005615234375
26.24,299.39,4.627015113830566
25.97,299.12,4.667015075683594
25.7,298.84999999999997,4.7070207595825195
25.42,298.57,4.746959447860718
25.14,298.28999999999996,4.7870261669158936
24.9,298.04999999999995,4.827040433883667
24.68,297.83,4.867020845413208
24.51,297.65999999999997,4.907052278518677
24.36,297.51,4.946897029876709
24.22,297.37,4.987060546875
24.14,297.28999999999996,5.02693772315979
24.12,297.27,5.067058086395264
24.11,297.26,5.1070966720581055
24.1,297.25,5.1471545696258545
24.09,297.23999999999995,5.1869611740112305
24.09,297.23999999999995,5.226885080337524
24.08,297.22999999999996,5.26697850227356
24.07,297.21999999999997,5.3070831298828125
24.06,297.21,5.347048282623291
24.06,297.21,5.386965274810791
24.05,297.2,5.427056074142456
24.05,297.2,5.466984272003174
24.05,297.2,5.506999969482422
24.05,297.2,5.5470287799835205
24.04,297.19,5.586897373199463
24.04,297.19,5.6270434856414795
