Temp (C),Temp (K),Timestamp (ms)
34.85,308.0,0.027046918869018555
34.91,308.05999999999995,0.06716418266296387
34.98,308.13,0.1071317195892334
34.85,308.0,0.14716458320617676
34.85,308.0,0.1870875358581543
34.85,308.0,0.2269906997680664
34.91,308.05999999999995,0.26700329780578613
34.85,308.0,0.30698347091674805
34.85,308.0,0.34706735610961914
34.85,308.0,0.3869345188140869
34.85,308.0,0.42696094512939453
34.85,308.0,0.4670085906982422
34.91,308.05999999999995,0.5071160793304443
34.91,308.05999999999995,0.5470986366271973
34.91,308.05999999999995,0.5871350765228271
34.91,308.05999999999995,0.6271963119506836
34.85,308.0,0.6670722961425781
34.85,308.0,0.7070002555847168
34.85,308.0,0.7470645904541016
34.85,308.0,0.7869231700897217
34.85,308.0,0.8271517753601074
34.85,308.0,0.8670539855957031
34.91,308.05999999999995,0.9071331024169922
34.91,308.05999999999995,0.9470038414001465
34.85,308.0,0.9871110916137695
34.85,308.0,1.0269801616668701
34.85,308.0,1.0669646263122559
34.85,308.0,1.1071012020111084
34.85,308.0,1.1469166278839111
34.85,308.0,1.187088966369629
34.85,308.0,1.227160930633545
34.85,308.0,1.266953945159912
34.85,308.0,1.306997299194336
34.85,308.0,1.347027063369751
34.85,308.0,1.3869898319244385
34.85,308.0,1.4270997047424316
34.85,308.0,1.467052936553955
34.85,308.0,1.5070891380310059
34.85,308.0,1.5471324920654297
34.85,308.0,1.5868871212005615
34.85,308.0,1.6270363330841064
34.85,308.0,1.667090892791748
34.91,308.05999999999995,1.7070887088775635
34.85,308.0,1.7470593452453613
34.85,308.0,1.7869720458984375
34.85,308.0,1.8269767761230469
34.85,308.0,1.8670680522918701
34.85,308.0,1.9069480895996094
34.85,308.0,1.9471087455749512
34.85,308.0,1.9871056079864502
34.85,308.0,2.026996374130249
34.85,308.0,2.0671043395996094
34.85,308.0,2.1069555282592773
34.85,308.0,2.146984100341797
34.91,308.05999999999995,2.186983346939087
34.85,308.0,2.227095365524292
34.85,308.0,2.266962766647339
34.85,308.0,2.306993246078491
34.91,308.05999999999995,2.346970319747925
34.91,308.05999999999995,2.386962890625
34.91,308.05999999999995,2.4271180629730225
34.91,308.05999999999995,2.466827392578125
34.85,308.0,2.50697660446167
34.85,308.0,2.54707932472229
34.85,308.0,2.5871481895446777
34.85,308.0,2.6269426345825195
34.85,308.0,2.6669392585754395
34.85,308.0,2.7071309089660645
34.85,308.0,2.7469704151153564
34.85,308.0,2.78691029548645
34.85,308.0,2.826913833618164
34.85,308.0,2.867017984390259
34.85,308.0,2.9071555137634277
34.98,308.13,2.9471404552459717
34.85,308.0,2.987081527709961
34.85,308.0,3.0269384384155273
34.85,308.0,3.066887855529785
34.85,308.0,3.107123374938965
34.91,308.05999999999995,3.146944761276245
34.85,308.0,3.187023878097534
34.85,308.0,3.2268664836883545
34.85,308.0,3.266890287399292
34.85,308.0,3.307084321975708
34.85,308.0,3.347058057785034
34.85,308.0,3.387033700942993
34.85,308.0,3.427255392074585
34.85,308.0,3.4671051502227783
34.85,308.0,3.5069940090179443
34.91,308.05999999999995,3.547027587890625
34.85,308.0,3.5871169567108154
34.85,308.0,3.6269707679748535
34.85,308.0,3.6669507026672363
34.85,308.0,3.7071571350097656
34.85,308.0,3.7469348907470703
34.85,308.0,3.7869362831115723
34.91,308.05999999999995,3.826965808868408
34.91,308.05999999999995,3.867004871368408
34.85,308.0,3.907033920288086
34.85,308.0,3.9469149112701416
34.85,308.0,3.9870388507843018
34.85,308.0,4.027078866958618
34.85,308.0,4.067023038864136
34.85,308.0,4.107072353363037
34.85,308.0,4.147082805633545
34.85,308.0,4.186993360519409
34.85,308.0,4.227077007293701
34.91,308.05999999999995,4.267032146453857
34.85,308.0,4.307024955749512
34.85,308.0,4.347101211547852
34.85,308.0,4.3868772983551025
34.91,308.05999999999995,4.427120208740234
34.91,308.05999999999995,4.466923713684082
34.91,308.05999999999995,4.507155656814575
34.91,308.05999999999995,4.547100305557251
34.85,308.0,4.587005615234375
34.85,308.0,4.627015113830566
34.85,308.0,4.667015075683594
34.85,308.0,4.7070207595825195
34.91,308.05999999999995,4.746959447860718
34.85,308.0,4.7870261669158936
34.85,308.0,4.827040433883667
34.85,308.0,4.867020845413208
34.85,308.0,4.907052278518677
34.85,308.0,4.946897029876709
32.35,305.5,4.987060546875
30.85,304.0,5.02693772315979
30.85,304.0,5.067058086395264
30.85,304.0,5.1070966720581055
30.85,304.0,5.1471545696258545
30.91,304.06,5.1869611740112305
30.85,304.0,5.226885080337524
30.85,304.0,5.26697850227356
30.85,304.0,5.3070831298828125
30.85,304.0,5.347048282623291
30.85,304.0,5.386965274810791
30.85,304.0,5.427056074142456
30.85,304.0,5.466984272003174
30.98,304.13,5.506999969482422
30.85,304.0,5.5470287799835205
30.85,304.0,5.586897373199463
30.85,304.0,5.6270434856414795
